"Timestamp","1. Edad.","2. Sexo.","3. Nivel de estudios más elevados (o su equivalente en tu época).","4. Nivel de ingresos.","5. ¿Qué tipo de productos sueles comprar online?","6. ¿Has comprado alguna vez productos de alimentación online?","7. ¿Con qué frecuencia compras productos de alimentación online?","8. ¿Qué factores influyen más en tu decisión de compra de productos (de cualquier tipo) online?","9. ¿Con qué afirmación te identificas más?","10. ¿Qué aspectos valoras positivamente de las plataformas online que utilizas?","11. ¿Qué aspectos valoras negativamente de las plataformas online que utilizas?","12. ¿Qué aspecto o funcionalidad te resultaría más útil para una aplicación dedicada a productos y alimentos ecológicos?","13. ¿Qué te motivaría a comprar más productos ecológicos online?"
"2025/10/23 11:57:09 AM GMT+1","41 - 50","Mujer","Universidad","30.001 - 45.000","De todo que no sea fresco","No","Nunca.","Precio.;Comodidad.;Rapidez de entrega.;Transparencia sobre el producto.","Priorizo alimentos saludables y de calidad, incluso si son más caros.","Rapidez y precio","Las devoluciones que requieren que te desplaces para devolver el producto","Organización y clasificación clara de los productos, fechas de caducidad","Rapidez en la entrega y precio"
"2025/10/23 12:38:19 PM GMT+1","41 - 50","Hombre","Máster","> 45.000","Moda, alimentación, complementos alimentarios, calzado, material oficina","Sí","Una vez a la semana o más.","Precio.;Comodidad.;Rapidez de entrega.","Priorizo alimentos saludables y de calidad, incluso si son más caros.","pasarela de pago fácil y de confianza ya registrada para ahorrar tiempo. Tener en cuenta los productos que consumo con regularidad para ahorrar tiempo de conexión.","a veces los productos mostrados estan en un entorno poco user friendly y cuesta hacer la selección.","Tener una lista de la compra de productos de consumo regular que se añaden segun el tiempo que ha pasado de la ultima compra y que cuando te falte cualquier producto se pueda escanear el código de barras del producto terminado para que automaticamente se añada a tu lista de compra","que una aplicación sea muy buena para ahorrar tiempo ya que es lo que más valoro"
"2025/10/23 12:44:44 PM GMT+1","51 - 60","Hombre","Bachillerato","Prefiero no decirlo","Productos de larga caducidad","Sí","Cada pocas semanas.","Supermercados/hipermercados (con compra online).","Priorizo alimentos saludables y de calidad, incluso si son más caros.","La comodidad de que te lo traen a casa","El transporte y su falta de puntualidad","Saber su caducidad","Saber cómo han sido producidos realmente"
"2025/10/23 12:45:02 PM GMT+1","23 - 40","Hombre","Máster","30.001 - 45.000","Todo tipo. Suplementación, electronica, consumibles hogar, etc","Sí","Muy de vez en cuando.","Comodidad.;Sostenibilidad.;Supermercados/hipermercados (con compra online).","Confío mucho más en los alimentos que puedo ver y tocar físicamente que en los que compro online.","Precio principalmente","Sostenibilidad y perjuicio al comercio local ","Sostenibilidad","Que la supply chain vaya en la misma linea y sea más sostenible "
"2025/10/23 1:14:42 PM GMT+1","23 - 40","Mujer","Universidad","30.001 - 45.000","Ropa","","Muy de vez en cuando.","Comodidad.","Priorizo alimentos saludables y de calidad, incluso si son más caros.","","","",""
"2025/10/23 1:23:16 PM GMT+1","51 - 60","Mujer","Universidad","17.001 - 30.000","Ropa, alimentación mascotas","Sí","Muy de vez en cuando.","Precio.;Comodidad.","Priorizo alimentos saludables y de calidad, incluso si son más caros.","Variedad","En question de alimento fresco no saber que vas a recibir","La variedad y la procedencia","Más ublicidas"
"2025/10/23 2:01:18 PM GMT+1","> 60","Hombre","Grado Superior","10.000 - 17.000","Electrònics","No","Muy de vez en cuando.","Comodidad.","Confío mucho más en los alimentos que puedo ver y tocar físicamente que en los que compro online.","Rapidesa","No saps amb qui tractes i ells tenen  un negoci","Els productes d'alimentació NO s'han de vendre a la xarxa ","Res "
"2025/10/23 2:23:49 PM GMT+1","> 60","Hombre","Universidad","10.000 - 17.000","","No","Nunca.","","Confío mucho más en los alimentos que puedo ver y tocar físicamente que en los que compro online.","","","",""
"2025/10/23 3:08:43 PM GMT+1","> 60","Hombre","Grado Superior","< 10.000","Los que no encuentro en ninguna tienda fisica ","No","Nunca.","","Priorizo alimentos saludables y de calidad, incluso si son más caros.","","La comunicación en el momento de la entrega","","Que no existieran en tiendas convencionales"
"2025/10/23 4:41:42 PM GMT+1","51 - 60","Hombre","Universidad","> 45.000","Ropa","Sí","Muy de vez en cuando.","Comodidad.","Confío mucho más en los alimentos que puedo ver y tocar físicamente que en los que compro online.","Comodidad ","Devoluciones","La información ","El precio "
"2025/10/23 4:58:06 PM GMT+1","> 60","Mujer","Universidad","30.001 - 45.000","Pocos. Basicamente tecnología ","Sí","Muy de vez en cuando.","Comodidad.","Priorizo alimentos saludables y de calidad, incluso si son más caros.","La calidad y la rapidez","Que inciden negativamente en el comercio local","No soy mucho de comprar online, me gusta más comprar en el comercio local y ver el producto","No soy mucho de comprar online, me gusta más comprar en el comercio local y ver el producto."
"2025/10/23 7:44:48 PM GMT+1","41 - 50","Mujer","Grado Superior","17.001 - 30.000","Regalos","No","Nunca.","Comodidad.;Rapidez de entrega.","Confío mucho más en los alimentos que puedo ver y tocar físicamente que en los que compro online.","Que tenga buenas reseñas sobre los envios","Que tenga malas reseñas con los envios","Ver la procedencia, y el detalle de ingredientes ","Si fuera una web de una tienda con un proyecto cerca de la zona donde vivo"
"2025/10/23 7:59:44 PM GMT+1","< 18","Hombre","ESO","< 10.000","ropa","No","Muy de vez en cuando.","Precio.;Comercio local (con compra online).","Priorizo alimentos saludables y de calidad, incluso si son más caros.","que es mas facil e intuitivo ","que no puedes ver ni tocar el producto fisicamente","que indique su procedencia i calidad previa a la puesta a la venta","informacion mas clara a la hora de comprar"
"2025/10/23 8:04:02 PM GMT+1","51 - 60","Hombre","Grado Superior","> 45.000","Electronica i informatica","Sí","Muy de vez en cuando.","Comodidad.","Confío mucho más en los alimentos que puedo ver y tocar físicamente que en los que compro online.","Que el servei de transport sigui correcte","Els transportistis, no son sempre rotulats de la empresa, a vegades son furgonetes particulars","No tinc resposta","Que el preu sigui equivalent als altres"
"2025/10/23 8:10:27 PM GMT+1","> 60","Mujer","Grado Medio","Prefiero no decirlo","Nada","No","Nunca.","Comercio local (con compra online).","Confío mucho más en los alimentos que puedo ver y tocar físicamente que en los que compro online.","Psra la gente que no tienectiempo","No utilizo","",""
"2025/10/23 8:11:13 PM GMT+1","> 60","Mujer","Bachillerato","30.001 - 45.000","Alimentació i roba","Sí","Cada pocas semanas.","Comodidad.;Rapidez de entrega.;Supermercados/hipermercados (con compra online).","El precio es más importante que el origen del alimento.","La comodidad y ahorro de tiempo","No poder ver el producto","No me acabo de creer lo de 'productos ecologicos' ","No me cabo de creer lo de 'productos ecologicos'"
"2025/10/23 8:24:27 PM GMT+1","23 - 40","Mujer","Grado Superior","17.001 - 30.000","Ropa, accesorios, la compra de casa, ","Sí","Cada pocas semanas.","Comodidad.;Rapidez de entrega.;Sostenibilidad.","Priorizo alimentos saludables y de calidad, incluso si son más caros.","La agilidad para comprar, si tienen fotos actualizadas, y menus fáciles para encontrar y hacer la compra","Que no te especifique si hay disponibilidad, que no tengan buscador, que no detallen el producto","El detalle del producto y la imagen real de lo que te llega a casa",""
"2025/10/23 8:37:36 PM GMT+1","23 - 40","Hombre","ESO","17.001 - 30.000","Videojuegos retro","Sí","Muy de vez en cuando.","Comodidad.","Confío mucho más en los alimentos que puedo ver y tocar físicamente que en los que compro online.","Rapidez y eficacia.","Pequeños detalles hacen grandes negocios.","Rapidez y transparencia.","Precio económico y facilidad de medios "
"2025/10/23 9:10:02 PM GMT+1","51 - 60","Hombre","Bachillerato","30.001 - 45.000","tec","No","Nunca.","Precio.;Rapidez de entrega.","El precio es más importante que el origen del alimento.","Bastant be","Falta de feedbak","Sinceritat","El preu."
"2025/10/23 9:50:48 PM GMT+1","51 - 60","Mujer","Universidad","Prefiero no decirlo","Coses per la llar","Sí","Muy de vez en cuando.","Comodidad.;Rapidez de entrega.;Comercio local (con compra online).","Confío mucho más en los alimentos que puedo ver y tocar físicamente que en los que compro online.","Rapidesa de lliurament i facilitat en la devolució","Que els productes sobint vinguin de molt lluny","Certificat de proximitat, atenció personalitzada, cura amb la mercaderia","Certificat de proximitat, atenció personalitzada, cura amb la mercaderia"
"2025/10/26 7:29:12 PM GMT+1","18 - 22","Hombre","Bachillerato","< 10.000","ropa y calzado","Sí","Una vez a la semana o más.","Precio.;Comodidad.","El precio es más importante que el origen del alimento.","La interfaz que es muy cómoda de usar y que no tengan exceso de publicidad","suelen saturar mucho con productos de esta misma plataforma ","poder ver de donde proceden e informarme ","que el precio fuera inferior "
